TransactionId,AccountId,TD,CountOfTransaction,CountOfFraud,IsFraud
76871,3957,10.0,66.0,0.0,0
73770,4841,10.0,30893.0,1.0,0
26203,4229,10.0,2.0,0.0,0
380,648,10.0,26.0,0.0,0
28195,4841,4523.0,30893.0,1.0,0
118063,2442,10.0,18.0,0.0,0
100640,4841,5175.0,30893.0,1.0,0
51905,272,10.0,3.0,0.0,0
130161,710,10.0,6.0,0.0,0
51800,2634,10.0,9.0,0.0,0
33857,4841,8024.0,30893.0,1.0,0
94963,710,212.0,6.0,0.0,0
104687,710,953.0,6.0,0.0,0
86903,710,991.0,6.0,0.0,0
118831,710,1182.0,6.0,0.0,0
122975,2685,10.0,139.0,0.0,0
98367,2685,93.0,139.0,0.0,0
64044,4841,9320.0,30893.0,1.0,0
119821,3081,10.0,6.0,0.0,0
94363,4841,9482.0,30893.0,1.0,0
93543,3081,167.0,6.0,0.0,0
138139,4841,9643.0,30893.0,1.0,0
79885,1825,10.0,192.0,2.0,0
127132,2314,10.0,356.0,0.0,0
74649,4841,10061.0,30893.0,1.0,0
7396,1825,2263.0,192.0,2.0,0
126754,1616,10.0,161.0,0.0,0
136360,4841,11977.0,30893.0,1.0,0
89705,3455,10.0,42.0,0.0,0
64565,3455,314.0,42.0,0.0,0
46482,4841,12308.0,30893.0,1.0,0
5351,2540,10.0,15.0,0.0,0
103605,2126,10.0,80.0,0.0,0
10285,4841,12710.0,30893.0,1.0,0
80334,2540,210.0,15.0,0.0,0
26269,4841,12869.0,30893.0,1.0,0
16559,571,10.0,173.0,0.0,0
79455,571,70.0,173.0,0.0,0
104700,2126,684.0,80.0,0.0,0
13858,2126,743.0,80.0,0.0,0
34855,826,10.0,10.0,0.0,0
132865,4841,13469.0,30893.0,1.0,0
124368,2126,816.0,80.0,0.0,0
76536,2126,883.0,80.0,0.0,0
93161,4841,13560.0,30893.0,1.0,0
16043,1842,10.0,90.0,0.0,0
96774,4841,13595.0,30893.0,1.0,0
14293,335,10.0,150.0,0.0,0
96748,4841,13895.0,30893.0,1.0,0
121336,4841,13926.0,30893.0,1.0,0
38396,2744,10.0,12.0,0.0,0
54845,1479,10.0,20.0,0.0,0
137392,4841,14134.0,30893.0,1.0,0
59614,4352,10.0,28.0,0.0,0
72438,2744,280.0,12.0,0.0,0
92309,1523,10.0,7.0,0.0,0
88237,4841,14631.0,30893.0,1.0,0
105829,3447,10.0,156.0,0.0,0
94666,4841,14933.0,30893.0,1.0,0
70601,2056,10.0,215.0,0.0,0
102611,4841,15012.0,30893.0,1.0,0
65476,1825,5452.0,192.0,2.0,0
112996,12,10.0,34.0,0.0,0
130141,4841,15186.0,30893.0,1.0,0
26794,2132,10.0,10.0,0.0,0
47659,2401,10.0,34.0,0.0,0
76198,4841,15673.0,30893.0,1.0,0
42823,2056,742.0,215.0,0.0,0
104825,4841,15749.0,30893.0,1.0,0
28633,1825,6357.0,192.0,2.0,0
81595,335,2300.0,150.0,0.0,0
76324,4841,16186.0,30893.0,1.0,0
74987,460,10.0,91.0,0.0,0
90888,460,31.0,91.0,0.0,0
65202,1825,6974.0,192.0,2.0,0
8835,1346,10.0,350.0,0.0,0
90129,460,307.0,91.0,0.0,0
131779,4103,10.0,38.0,0.0,0
93966,460,325.0,91.0,0.0,0
108529,460,346.0,91.0,0.0,0
73142,4132,10.0,10.0,0.0,0
